reference_id,x,y,z
(),(mm),(mm),(mm)
102,-2231,-2059.44,2495.74
106,-2496.2,-1962.8,2192.35
201,-2616.1,-1909.52,2197.25
202,-3065.1,-2617.43,2688.09
203,-2339.7,-2772.13,2556.29
1,-2232.5,-2009.59,2467.16
2,-2254.3,-2131.77,2476.8
3,-2359.6,-2716.13,2524.94
4,-2933.6,-1858.06,2623.5
5,-2959.4,-1997.15,2635.18
6,-3064.4,-2582.04,2684.49
7,-2240.3,-1991.51,2413.07
8,-2941.9,-1839.18,2565.87
9,-2473.6,-1837.41,2180.27
10,-2605,-1813.79,2172.05
11,-2831.1,-1763.26,2293.79
