id 	 idx 	 XYZPosition_0 	 XYZPosition_1 	 XYZPosition_2 	 XPhi 	 XTheta 	 XPsi 	 Order 	 GeometricalHitOrder
1	70	13.8334	-29.1944	52.0103	3.14159	0.785398	2.00987	20	20
1	71	8.25572	-31.1495	49.25	3.14159	0.785398	1.82987	21	21
1	72	2.68413	-32.1786	51.9524	3.14159	0.785398	1.64987	24	24
1	73	-3.19518	-32.1436	49.2913	3.14159	0.785398	1.46987	25	25
1	74	-8.8481	-31.0572	51.9551	3.14159	0.785398	1.28987	28	28
1	75	-14.3234	-28.9462	49.2906	3.14159	0.785398	1.10987	29	29
1	76	-18.7367	-26.2982	52.5949	3.14159	0.785398	0.929877	32	32
1	77	-23.5062	-22.1625	49.269	3.14159	0.785398	0.749881	33	33
1	78	-27.0932	-17.6007	52.0007	3.14159	0.785398	0.569867	36	36
1	79	-29.7588	-12.4327	49.1522	3.14159	0.785398	0.389872	37	37
1	80	32.1544	-1.73675	57.5564	3.14159	0.785398	3.08987	10	10
1	81	31.3637	-7.40049	54.75	3.14159	0.785398	2.90987	11	11
1	82	29.54	-12.9776	57.5114	3.14159	0.785398	2.72987	14	14
1	83	26.8557	-17.8551	55.0016	3.14159	0.785398	2.54987	15	15
1	84	23.0922	-22.503	57.4776	3.14159	0.785398	2.36987	18	18
1	85	18.6997	-26.2445	54.75	3.14159	0.785398	2.18988	19	19
1	86	13.7428	-29.2194	57.5296	3.14159	0.785398	2.00987	22	22
1	87	8.29767	-31.2189	54.7079	3.14159	0.785398	1.82987	23	23
1	88	2.72773	-32.171	57.6721	3.14159	0.785398	1.64987	26	26
1	89	-3.27586	-32.0969	54.8874	3.14159	0.785398	1.46987	27	27
1	90	-8.88317	-31.0246	57.5548	3.14159	0.785398	1.28987	30	30
1	91	-14.2664	-28.9688	54.7923	3.14159	0.785398	1.10987	31	31
1	92	-19.31	-25.8742	57.534	3.14159	0.785398	0.929877	34	34
1	93	-23.5167	-22.1148	54.7701	3.14159	0.785398	0.749881	35	35
1	94	-26.9187	-17.8196	57.8427	3.14159	0.785398	0.569867	38	38
1	95	-29.7825	-12.3999	54.7687	3.14159	0.785398	0.389872	39	39
1	96	32.1819	-1.66588	63	3.14159	0.785398	3.08987	12	12
1	97	31.3471	-7.38657	60.2859	3.14159	0.785398	2.90987	13	13
1	98	29.6224	-12.6952	63.252	3.14159	0.785398	2.72987	16	16
1	99	26.734	-17.9699	60.2383	3.14159	0.785398	2.54987	17	17
1	100	23.0983	-22.5126	63.0247	3.14159	0.785398	2.36987	20	20
1	101	18.6668	-26.3294	60.0468	3.14159	0.785398	2.18988	21	21
1	102	13.894	-29.1384	63.034	3.14159	0.785398	2.00987	24	24
1	103	8.25572	-31.1495	60.25	3.14159	0.785398	1.82987	25	25
1	104	2.56844	-32.181	62.9225	3.14159	0.785398	1.64987	28	28
1	105	-3.19675	-32.1253	60.2343	3.14159	0.785398	1.46987	29	29
1	106	-8.88908	-31.0377	62.9706	3.14159	0.785398	1.28987	32	32
1	107	-14.1684	-29.0055	60.3547	3.14159	0.785398	1.10987	33	33
1	108	-19.2258	-25.9211	63.0432	3.14159	0.785398	0.929877	36	36
1	109	-23.4716	-22.1643	60.2614	3.14159	0.785398	0.749881	37	37
1	110	-27.1315	-17.5096	62.9993	3.14159	0.785398	0.569867	40	40
1	111	-29.7585	-12.4454	60.2062	3.14159	0.785398	0.389872	41	41
1	112	32.1819	-1.66588	68.5	3.14159	0.785398	3.08987	14	14
1	113	31.3637	-7.40049	65.75	3.14159	0.785398	2.90987	15	15
1	114	29.5144	-12.8843	68.5397	3.14159	0.785398	2.72987	18	18
1	115	26.6919	-18.1571	65.6715	3.14159	0.785398	2.54987	19	19
1	116	23.166	-22.4504	68.563	3.14159	0.785398	2.36987	22	22
