0,0,31.6826,-1.64003,30,3.14159,0.785398,3.08987,0,0
0,1,30.8771,-7.28566,27.25,3.14159,0.785398,2.90987,1,1
0,2,29.0739,-12.6958,30,3.14159,0.785398,2.72987,4,4
0,3,26.3312,-17.6958,27.25,3.14159,0.785398,2.54987,5,5
0,4,22.7377,-22.124,30,3.14159,0.785398,2.36987,8,8
0,5,18.4095,-25.8373,27.25,3.14159,0.785398,2.18988,9,9
0,6,13.4865,-28.7157,30,3.14159,0.785398,2.00987,12,12
0,7,8.12762,-30.6662,27.25,3.14159,0.785398,1.82987,13,13
0,8,2.50612,-31.6259,30,3.14159,0.785398,1.64987,16,16
0,9,-3.19632,-31.5636,27.25,3.14159,0.785398,1.46987,17,17
0,10,-8.79568,-30.4813,30,3.14159,0.785398,1.28987,20,20
0,11,-14.1105,-28.4142,27.25,3.14159,0.785398,1.10987,21,21
0,12,-18.9694,-25.4291,30,3.14159,0.785398,0.929877,24,24
0,13,-23.2154,-21.6222,27.25,3.14159,0.785398,0.749881,25,25
0,14,-26.7116,-17.1163,30,3.14159,0.785398,0.569867,28,28
0,15,-29.3443,-12.0577,27.25,3.14159,0.785398,0.389872,29,29
0,16,31.6826,-1.64003,35.5,3.14159,0.785398,3.08987,2,2
0,17,30.8771,-7.28566,32.75,3.14159,0.785398,2.90987,3,3
0,18,29.0739,-12.6958,35.5,3.14159,0.785398,2.72987,6,6
0,19,26.3312,-17.6958,32.75,3.14159,0.785398,2.54987,7,7
0,20,22.7377,-22.124,35.5,3.14159,0.785398,2.36987,10,10
0,21,18.4095,-25.8373,32.75,3.14159,0.785398,2.18988,11,11
0,22,13.4865,-28.7157,35.5,3.14159,0.785398,2.00987,14,14
0,23,8.12762,-30.6662,32.75,3.14159,0.785398,1.82987,15,15
0,24,2.50612,-31.6259,35.5,3.14159,0.785398,1.64987,18,18
0,25,-3.19632,-31.5636,32.75,3.14159,0.785398,1.46987,19,19
0,26,-8.79568,-30.4813,35.5,3.14159,0.785398,1.28987,22,22
0,27,-14.1105,-28.4142,32.75,3.14159,0.785398,1.10987,23,23
0,28,-18.9694,-25.4291,35.5,3.14159,0.785398,0.929877,26,26
0,29,-23.2154,-21.6222,32.75,3.14159,0.785398,0.749881,27,27
0,30,-26.7116,-17.1163,35.5,3.14159,0.785398,0.569867,30,30
0,31,-29.3443,-12.0577,32.75,3.14159,0.785398,0.389872,31,31
0,32,32.1819,-1.66588,41,3.14159,0.785398,3.08987,4,4
0,33,30.8771,-7.28566,38.25,3.14159,0.785398,2.90987,5,5
0,34,29.5321,-12.8959,41,3.14159,0.785398,2.72987,8,8
0,35,26.3312,-17.6958,38.25,3.14159,0.785398,2.54987,9,9
0,36,23.0961,-22.4727,41,3.14159,0.785398,2.36987,12,12
0,37,18.4095,-25.8373,38.25,3.14159,0.785398,2.18988,13,13
0,38,13.699,-29.1683,41,3.14159,0.785398,2.00987,16,16
0,39,8.12762,-30.6662,38.25,3.14159,0.785398,1.82987,17,17
0,40,2.54561,-32.1243,41,3.14159,0.785398,1.64987,20,20
0,41,-3.19632,-31.5636,38.25,3.14159,0.785398,1.46987,21,21
0,42,-8.9343,-30.9617,41,3.14159,0.785398,1.28987,24,24
0,43,-14.1105,-28.4142,38.25,3.14159,0.785398,1.10987,25,25
0,44,-19.2684,-25.8298,41,3.14159,0.785398,0.929877,28,28
0,45,-23.2154,-21.6222,38.25,3.14159,0.785398,0.749881,29,29
0,46,-27.1326,-17.386,41,3.14159,0.785398,0.569867,32,32
0,47,-29.3443,-12.0577,38.25,3.14159,0.785398,0.389872,33,33
0,48,32.1819,-1.66588,46.5,3.14159,0.785398,3.08987,6,6
0,49,31.3637,-7.40049,43.75,3.14159,0.785398,2.90987,7,7
0,50,29.5321,-12.8959,46.5,3.14159,0.785398,2.72987,10,10
0,51,26.7462,-17.9747,43.75,3.14159,0.785398,2.54987,11,11
0,52,23.0961,-22.4727,46.5,3.14159,0.785398,2.36987,14,14
0,53,18.6997,-26.2445,43.75,3.14159,0.785398,2.18988,15,15
0,54,13.699,-29.1683,46.5,3.14159,0.785398,2.00987,18,18
0,55,8.25572,-31.1495,43.75,3.14159,0.785398,1.82987,19,19
0,56,2.54561,-32.1243,46.5,3.14159,0.785398,1.64987,22,22
0,57,-3.24669,-32.061,43.75,3.14159,0.785398,1.46987,23,23
0,58,-8.9343,-30.9617,46.5,3.14159,0.785398,1.28987,26,26
0,59,-14.3329,-28.8621,43.75,3.14159,0.785398,1.10987,27,27
0,60,-19.2684,-25.8298,46.5,3.14159,0.785398,0.929877,30,30
0,61,-23.5813,-21.963,43.75,3.14159,0.785398,0.749881,31,31
0,62,-27.1326,-17.386,46.5,3.14159,0.785398,0.569867,34,34
0,63,-29.8068,-12.2477,43.75,3.14159,0.785398,0.389872,35,35
0,64,32.1819,-1.66588,52,3.14159,0.785398,3.08987,8,8
0,65,31.3637,-7.40049,49.25,3.14159,0.785398,2.90987,9,9
0,66,29.5321,-12.8959,52,3.14159,0.785398,2.72987,12,12
0,67,26.7462,-17.9747,49.25,3.14159,0.785398,2.54987,13,13
0,68,23.0961,-22.4727,52,3.14159,0.785398,2.36987,16,16
0,69,18.6997,-26.2445,49.25,3.14159,0.785398,2.18988,17,17
0,70,13.699,-29.1683,52,3.14159,0.785398,2.00987,20,20
0,71,8.25572,-31.1495,49.25,3.14159,0.785398,1.82987,21,21
0,72,2.54561,-32.1243,52,3.14159,0.785398,1.64987,24,24
0,73,-3.24669,-32.061,49.25,3.14159,0.785398,1.46987,25,25
