reference_id,X,Y,Z
(),(mm),(mm),(mm)
-3,-358.801,-75.263,-1147.147
-9,158.605,-338.287,-1294.136
-10,95.281,-361.259,-1291.291
-11,-164.731,-335.467,-1294.349
