reference_id,X,Y,Z
(),(mm),(mm),(mm)
101,-386.495,-50.981,1203.715
102,-368.182,-47.530,1095.251
1,-359.042,-72.610,1144.958
2,-359.374,-72.871,1020.526
3,-359.253,-72.057,424.711
4,364.576,53.537,1155.122
5,365.249,53.322,1013.204
7,-350.647,-125.715,1165.704
8,373.464,-3.133,1177.149
9,-104.151,-359.632,1293.950
10,29.011,-373.527,1294.448
11,265.420,-261.231,1293.747
